datetime,open,high,low,close,volume
2025-05-12 09:15:00,23.0,23.57,23.0,23.51,212995
2025-05-12 09:30:00,23.51,23.68,23.42,23.52,363364
2025-05-12 09:45:00,23.46,23.72,23.46,23.65,494558
2025-05-12 10:00:00,23.66,23.78,23.6,23.6,554684
2025-05-12 10:15:00,23.63,23.68,23.56,23.56,587346
2025-05-12 10:30:00,23.61,23.64,23.5,23.64,615344
2025-05-12 10:45:00,23.57,23.74,23.57,23.62,660636
2025-05-12 11:00:00,23.65,23.87,23.65,23.85,842302
2025-05-12 11:15:00,23.87,23.87,23.71,23.71,920244
2025-05-12 11:30:00,23.62,23.86,23.62,23.67,970129
2025-05-12 11:45:00,23.73,23.73,23.67,23.67,979051
2025-05-12 12:00:00,23.71,23.71,23.63,23.7,989841
2025-05-12 12:15:00,23.7,23.7,23.65,23.67,665552
2025-05-12 12:30:00,23.58,23.68,23.58,23.68,672314
2025-05-12 12:45:00,23.69,23.73,23.58,23.73,1057354
2025-05-12 13:00:00,23.75,23.99,23.72,23.97,1121553
2025-05-12 13:15:00,23.91,23.95,23.8,23.9,1206025
2025-05-12 13:30:00,23.91,23.91,23.82,23.85,1239035
2025-05-12 13:45:00,23.84,23.9,23.79,23.83,1257776
2025-05-12 14:00:00,23.81,23.98,23.81,23.98,1305432
2025-05-12 14:15:00,23.99,23.99,23.87,23.88,1351340
2025-05-12 14:30:00,23.88,23.9,23.85,23.87,1379610
2025-05-12 14:45:00,23.89,23.91,23.8,23.91,1395378
2025-05-12 15:00:00,23.85,23.94,23.7,23.8,1456745
2025-05-12 15:15:00,23.77,23.94,23.7,23.83,1565283
2025-05-13 09:15:00,23.96,24.0,23.73,23.9,156718
2025-05-13 09:30:00,23.82,24.0,23.74,24.0,260349
2025-05-13 09:45:00,23.95,24.24,23.92,24.16,389237
2025-05-13 10:00:00,24.15,24.19,24.08,24.19,524717
2025-05-13 10:15:00,24.15,24.32,24.09,24.19,601240
2025-05-13 10:30:00,24.2,24.25,24.12,24.24,440568
2025-05-13 10:45:00,24.21,24.3,24.15,24.27,687378
2025-05-13 11:00:00,24.3,24.4,24.23,24.33,763717
2025-05-13 11:15:00,24.32,24.32,24.2,24.25,798332
2025-05-13 11:30:00,24.26,24.4,24.23,24.33,820319
2025-05-13 11:45:00,24.35,24.5,24.3,24.44,901499
2025-05-13 12:00:00,24.48,24.48,24.36,24.4,916603
2025-05-13 12:15:00,24.4,24.43,24.37,24.38,928858
2025-05-13 12:30:00,24.38,24.38,24.24,24.26,946280
2025-05-13 12:45:00,24.25,24.25,24.15,24.2,642512
2025-05-13 13:00:00,24.2,24.22,24.17,24.17,967868
2025-05-13 13:15:00,24.17,24.2,24.17,24.17,650846
2025-05-13 13:30:00,24.17,24.2,24.13,24.18,660019
2025-05-13 13:45:00,24.16,24.18,24.14,24.14,1005974
2025-05-13 14:00:00,24.14,24.17,24.11,24.17,677770
2025-05-13 14:15:00,24.18,24.18,24.1,24.1,679109
2025-05-13 14:30:00,24.14,24.14,24.07,24.11,1025192
2025-05-13 14:45:00,24.11,24.19,24.1,24.18,701448
2025-05-13 15:00:00,24.19,24.2,24.14,24.2,1069535
2025-05-13 15:15:00,24.2,24.35,24.16,24.35,1270087
2025-05-14 09:15:00,24.44,24.6,24.28,24.49,197291
2025-05-14 09:30:00,24.55,24.55,24.36,24.45,349064
2025-05-14 09:45:00,24.48,24.67,24.39,24.48,473535
2025-05-14 10:00:00,24.48,24.5,24.3,24.37,525347
2025-05-14 10:15:00,24.4,24.57,24.16,24.24,780247
2025-05-14 10:30:00,24.39,24.48,24.18,24.47,944754
2025-05-14 10:45:00,24.36,24.47,24.32,24.33,639015
2025-05-14 11:00:00,24.43,24.45,24.33,24.44,975248
2025-05-14 11:15:00,24.44,24.53,24.38,24.5,1011544
2025-05-14 11:30:00,24.4,24.58,24.4,24.56,1037218
2025-05-14 11:45:00,24.53,24.53,24.35,24.5,1109961
2025-05-14 12:00:00,24.43,24.55,24.43,24.55,753609
2025-05-14 12:15:00,24.55,24.55,24.44,24.46,1149088
2025-05-14 12:30:00,24.46,24.46,24.29,24.33,790731
2025-05-14 12:45:00,24.39,24.46,24.3,24.36,1199668
2025-05-14 13:00:00,24.43,24.5,24.4,24.5,814067
2025-05-14 13:15:00,24.5,24.54,24.39,24.5,1235169
2025-05-14 13:30:00,24.51,24.54,24.42,24.45,1248814
2025-05-14 13:45:00,24.46,24.49,24.4,24.41,841684
2025-05-14 14:00:00,24.43,24.49,24.42,24.49,1276569
2025-05-14 14:15:00,24.46,24.5,24.44,24.46,857018
2025-05-14 14:30:00,24.45,24.52,24.45,24.52,1318314
2025-05-14 14:45:00,24.48,24.54,24.48,24.54,919375
2025-05-14 15:00:00,24.52,24.63,24.5,24.5,1491009
2025-05-14 15:15:00,24.55,24.6,24.5,24.6,1664265
2025-05-15 09:15:00,26.6,27.32,26.13,27.04,1455512
2025-05-15 09:30:00,27.03,27.14,26.46,26.54,3187719
2025-05-15 09:45:00,26.47,26.56,25.91,25.98,4002274
2025-05-15 10:00:00,25.99,26.13,25.77,25.93,4420867
2025-05-15 10:15:00,25.96,26.08,25.95,26.05,4588970
2025-05-15 10:30:00,26.04,26.24,26.04,26.15,4724385
2025-05-15 10:45:00,26.14,26.21,26.04,26.18,4882153
2025-05-15 11:00:00,26.14,26.45,26.1,26.25,5104208
2025-05-15 11:15:00,26.24,26.39,26.2,26.26,5271346
2025-05-15 11:30:00,26.33,26.5,26.26,26.38,5529190
2025-05-15 11:45:00,26.39,26.5,26.27,26.32,5651890
2025-05-15 12:00:00,26.32,26.46,26.2,26.22,5712219
2025-05-15 12:15:00,26.2,26.3,26.12,26.2,5749907
2025-05-15 12:30:00,26.15,26.2,26.11,26.12,5784216
2025-05-15 12:45:00,26.15,26.2,26.11,26.15,5852731
2025-05-15 13:00:00,26.18,26.2,26.09,26.17,5952583
2025-05-15 13:15:00,26.11,26.17,26.11,26.15,6005704
2025-05-15 13:30:00,26.16,26.16,25.96,26.0,6081545
2025-05-15 13:45:00,26.0,26.05,25.93,26.03,6208454
2025-05-15 14:00:00,26.02,26.02,25.83,25.9,6336027
2025-05-15 14:15:00,25.9,25.99,25.9,25.9,6389092
2025-05-15 14:30:00,25.91,26.3,25.91,26.23,6547212
2025-05-15 14:45:00,26.15,26.2,26.11,26.15,6627222
2025-05-15 15:00:00,26.19,26.25,26.1,26.16,6689080
2025-05-15 15:15:00,26.12,26.19,26.12,26.15,6932370
2025-05-16 09:15:00,26.3,26.37,25.88,25.94,208671
2025-05-16 09:30:00,25.95,26.2,25.94,26.07,372357
2025-05-16 09:45:00,26.13,26.13,25.95,26.04,443502
2025-05-16 10:00:00,26.04,26.04,25.65,25.68,665059
2025-05-16 10:15:00,25.66,25.75,25.42,25.49,866754
2025-05-16 10:30:00,25.5,25.5,25.34,25.35,1080572
2025-05-16 10:45:00,25.38,25.41,25.34,25.37,1221048
2025-05-16 11:00:00,25.36,25.46,25.28,25.46,1364440
2025-05-16 11:15:00,25.41,25.49,25.41,25.44,1545335
2025-05-16 11:30:00,25.49,25.6,25.42,25.44,1608697
2025-05-16 11:45:00,25.42,25.49,25.4,25.48,1652828
2025-05-16 12:00:00,25.49,25.5,25.36,25.4,1691472
2025-05-16 12:15:00,25.44,25.45,25.35,25.41,1785048
2025-05-16 12:30:00,25.37,25.45,25.37,25.45,1227946
2025-05-16 12:45:00,25.44,25.48,25.38,25.43,1995653
2025-05-16 13:00:00,25.43,25.48,25.41,25.47,2037505
2025-05-16 13:15:00,25.46,25.48,25.41,25.42,2087734
2025-05-16 13:30:00,25.46,25.48,25.37,25.47,2182347
2025-05-16 13:45:00,25.41,25.45,25.37,25.45,2234944
2025-05-16 14:00:00,25.41,25.5,25.36,25.45,2287688
2025-05-16 14:15:00,25.43,25.49,25.37,25.49,2411913
2025-05-16 14:30:00,25.51,25.63,25.48,25.59,2501056
2025-05-16 14:45:00,25.6,25.67,25.52,25.52,2553164
2025-05-16 15:00:00,25.56,25.56,25.41,25.41,2675125
2025-05-16 15:15:00,25.47,25.56,25.44,25.54,2843143
2025-05-19 09:15:00,25.4,26.19,25.4,25.71,447506
2025-05-19 09:30:00,25.7,25.81,25.52,25.74,644022
2025-05-19 09:45:00,25.68,25.77,25.62,25.62,808506
2025-05-19 10:00:00,25.69,25.75,25.56,25.64,959199
2025-05-19 10:15:00,25.7,25.7,25.25,25.42,1112128
2025-05-19 10:30:00,25.3,25.59,25.2,25.54,1334758
