datetime,open,high,low,close,volume
2025-05-12 09:15:00,544.95,549.85,541.7,543.7,3972086
2025-05-12 09:30:00,543.65,545.35,542.0,542.2,5654563
2025-05-12 09:45:00,542.95,552.3,542.95,547.8,7955594
2025-05-12 10:00:00,547.45,549.95,543.85,544.35,9676945
2025-05-12 10:15:00,544.05,546.0,543.5,543.8,10457498
2025-05-12 10:30:00,543.6,545.8,542.5,544.7,11410036
2025-05-12 10:45:00,544.6,544.9,543.0,543.6,11921890
2025-05-12 11:00:00,543.55,546.95,542.7,545.15,12413839
2025-05-12 11:15:00,545.1,545.55,544.0,544.35,12858623
2025-05-12 11:30:00,544.05,545.0,543.6,544.5,13115005
2025-05-12 11:45:00,544.35,544.85,543.0,543.3,13414586
2025-05-12 12:00:00,543.5,543.75,542.1,542.6,13736485
2025-05-12 12:15:00,542.65,543.0,542.1,542.7,13932914
2025-05-12 12:30:00,542.75,544.3,542.75,543.95,14235860
2025-05-12 12:45:00,543.9,544.1,542.9,544.0,14410629
2025-05-12 13:00:00,543.9,544.5,542.7,542.85,14593185
2025-05-12 13:15:00,542.55,544.4,542.35,544.1,14857110
2025-05-12 13:30:00,543.8,544.1,543.0,543.75,15126702
2025-05-12 13:45:00,543.55,545.35,543.5,543.85,15503678
2025-05-12 14:00:00,543.9,544.3,543.5,543.6,15681239
2025-05-12 14:15:00,543.55,546.9,543.55,545.0,16186772
2025-05-12 14:30:00,544.8,545.7,544.3,545.1,16643895
2025-05-12 14:45:00,545.3,547.3,544.6,546.3,17159498
2025-05-12 15:00:00,546.55,547.5,546.1,547.35,17710809
2025-05-12 15:15:00,547.4,547.45,545.5,546.5,18854912
2025-05-13 09:15:00,546.55,546.8,539.0,539.85,2190851
2025-05-13 09:30:00,539.9,543.35,537.45,540.1,3885633
2025-05-13 09:45:00,540.35,541.0,538.0,539.25,4845836
2025-05-13 10:00:00,539.45,541.1,539.1,541.0,5264783
2025-05-13 10:15:00,541.1,542.45,540.05,541.05,5739190
2025-05-13 10:30:00,541.0,542.2,540.5,542.05,6295066
2025-05-13 10:45:00,542.0,542.2,541.0,541.5,6701007
2025-05-13 11:00:00,541.6,543.8,541.45,541.85,7896790
2025-05-13 11:15:00,542.0,542.8,541.5,542.2,8760826
2025-05-13 11:30:00,542.25,544.05,541.5,542.55,10001058
2025-05-13 11:45:00,542.65,543.0,541.5,542.6,10458855
2025-05-13 12:00:00,542.8,543.65,541.95,543.25,10817655
2025-05-13 12:15:00,543.3,543.5,542.2,542.5,11068326
2025-05-13 12:30:00,542.65,543.0,542.0,542.35,11331269
2025-05-13 12:45:00,542.1,542.5,541.35,541.6,11635084
2025-05-13 13:00:00,541.45,541.85,538.35,539.45,12332802
2025-05-13 13:15:00,539.5,539.5,536.0,538.2,13040947
2025-05-13 13:30:00,537.45,538.75,537.45,538.5,13289484
2025-05-13 13:45:00,538.8,538.95,537.55,537.9,13458365
2025-05-13 14:00:00,537.8,538.75,537.55,538.25,13643703
2025-05-13 14:15:00,538.35,538.85,537.3,538.2,13845293
2025-05-13 14:30:00,538.45,538.75,538.0,538.6,13962017
2025-05-13 14:45:00,538.35,539.8,538.35,538.65,14245413
2025-05-13 15:00:00,538.8,540.8,537.3,538.4,14889134
2025-05-13 15:15:00,538.35,541.0,537.0,540.25,16185727
2025-05-14 09:15:00,542.7,542.7,536.1,540.0,1524591
2025-05-14 09:30:00,540.4,541.25,539.4,541.0,2336758
2025-05-14 09:45:00,540.85,541.25,539.0,540.5,2969780
2025-05-14 10:00:00,540.2,540.85,539.6,540.65,3332120
2025-05-14 10:15:00,540.35,540.7,539.25,540.0,3601240
2025-05-14 10:30:00,539.75,540.7,539.1,540.5,3813817
2025-05-14 10:45:00,540.7,541.0,539.55,539.55,4015066
